ASSEMBLY_RUN,SAMPLE_NAME,ct_modified,Prefilt_reads,set,ASSEMBLY_QUALITY
FAX82808_01,PV100011,NA,12623,ALL,Passed
FAX82808_01,PV100023,NA,11648,ALL,Passed
FAX82808_01,PV100026,NA,980,ALL,Passed
FAX82808_01,PV100042,NA,5966,ALL,Passed
FAX82808_01,PV100064,NA,13804,ALL,Passed
FAX82808_01,PV100073,NA,15657,ALL,Passed
FAX82808_01,PV100074,NA,11306,ALL,Passed
FAX82808_01,PV100078,NA,4571,ALL,Passed
FAX82808_01,PV100079,NA,1228,ALL,Passed
FAX82808_01,PV100081,NA,25761,ALL,Passed
FAX82808_01,PV100090,NA,9222,ALL,Passed
FAX82808_01,PV100099,NA,22516,ALL,Passed
FAX82808_01,PV100104,NA,1087,ALL,Passed
FAX82808_01,PV100105,NA,4700,ALL,Passed
FAX82808_01,PV100106,NA,2502,ALL,Passed
FAX82808_01,PV100111,NA,9118,ALL,Passed
FAX82808_01,PV100126,NA,7456,ALL,Passed
FAX82808_01,PV100134,NA,7059,ALL,Passed
FAX82808_01,PV100135,NA,326,ALL,Passed
FAX82808_01,PV100136,NA,15743,ALL,Passed
FAX82808_01,PV100140,NA,15242,ALL,Passed
FAX82808_01,PV100150,NA,567,ALL,Passed
FAX82808_01,PV100155,NA,22247,ALL,Passed
FAX82808_01,PV100161,NA,28502,ALL,Passed
FAX82808_01,PV100170,NA,1898,ALL,Passed
FAX82808_01,PV100174,NA,21148,ALL,Passed
FAX82808_01,PV100176,NA,1758,ALL,Passed
FAX82808_01,PV100179,NA,17581,ALL,Passed
FAX82808_01,PV100216,NA,353,ALL,Passed
FAX82808_01,PV100220,NA,1752,ALL,Passed
FAX82808_01,PV100221,NA,1958,ALL,Passed
FAX82808_01,PV100233,NA,7485,ALL,Passed
FAX82808_01,PV100236,NA,565,ALL,Passed
FAX82808_01,PV100237,NA,6144,ALL,Passed
FAX82808_01,PV100243,NA,15148,ALL,Passed
FAX82808_01,PV100247,NA,588,ALL,Passed
FAX82808_01,PV110005,24.533015075,3885,ALL,Passed
FAX82808_01,PV110018,19.3,10344,ALL,Passed
FAX82808_01,PV110027,13.9,17188,ALL,Passed
FAX82808_01,PV110031,20.5,11155,ALL,Passed
FAX82808_01,PV110033,14.8,18099,ALL,Passed
FAX82808_01,PV110038,15.3,24928,ALL,Passed
FAX82808_01,PV110045,24.5,168,ALL,Failed
FAX82808_01,PV110046,38.9,1290,ALL,Passed
FAX82808_01,PV110047,16.9,22869,ALL,Passed
FAX82808_01,PV110048,16.3,28833,ALL,Passed
FAX82808_01,PV110049,20.3,1623,ALL,Passed
FAX82808_01,PV110052,18.1,19452,ALL,Passed
FAX82808_01,PV110055,21.3,2162,ALL,Passed
FAX82808_01,PV110059,20.9,3342,ALL,Passed
FAX82808_01,PV110064,18.7,19248,ALL,Passed
FAX82808_01,PV110077,19.7,3396,ALL,Passed
FAX82808_01,PV110081,24.1,639,ALL,Passed
FAX77110_01,PV110104,19.4,16927,ALL,Passed
FAX77110_01,PV110107,14.2,15862,ALL,Passed
FAX82808_01,PV110111,15.9,18370,ALL,Passed
FAX82808_01,PV110119,20.6,7201,ALL,Passed
FAX77110_01,PV110123,20.2,3966,ALL,Passed
FAX77110_01,PV110131,16.6,17101,ALL,Passed
FAX77110_01,PV110142,15.2,23447,BM,Passed
FAX77110_01,PV110149,23,532,ALL,Failed
FAX82808_01,PV110167,20.6,3634,ALL,Passed
FAX77110_01,PV110168,20.447412749999998,25280,ALL,Passed
FAX77110_01,PV110176,19.645899370000002,10419,ALL,Passed
FAX77110_01,PV110179,22.26846771,16302,ALL,Passed
FAX77110_01,PV110194,24.26692366,1273,ALL,Passed
FAX77110_01,PV110196,22.6,1577,ALL,Passed
FAX77110_01,PV110207,20.1,13955,ALL,Passed
FAX77110_01,PV110209,15.9,20495,ALL,Passed
FAX77110_01,PV110219,16.5,20315,ALL,Passed
FAX77110_01,PV110222,21.1,4233,ALL,Passed
FAX77110_01,PV110223,17,8577,ALL,Passed
FAX77110_01,PV110225,20.8,7064,ALL,Passed
FAX77110_01,PV110227,13.5,20732,ALL,Passed
FAX77110_01,PV110231,16.7,27865,ALL,Passed
FAX77110_01,PV110234,14.5,25025,ALL,Passed
FAX77110_01,PV110237,19.9,7393,ALL,Passed
FAX77110_01,PV110239,20.5,112,ALL,Failed
FAX77110_01,PV110241,20.4,9226,ALL,Passed
FAX77110_01,PV110249,16.3,19946,ALL,Passed
FAX77110_01,PV110257,18.9,14828,ALL,Passed
FAX77110_01,PV110260,12.7,9889,ALL,Passed
FAX77110_01,PV110263,16.8,20682,ALL,Passed
FAX77110_01,PV110265,23.5,1984,BM,Passed
FAX77110_01,PV110273,18.2,29881,ALL,Passed
FAX77110_01,PV110281,20.179600815,28948,ALL,Passed
FAX77110_01,PV110289,23.1,3191,ALL,Passed
FAX77110_01,PV110305,18.2,9812,ALL,Passed
FAX77110_01,PV110307,17.3,19536,ALL,Passed
FAX77110_01,PV110309,18.2,12312,ALL,Passed
FAX77110_01,PV110314,21.6,892,ALL,Passed
FAX77110_01,PV110324,24.8,371,ALL,Passed
FAX77110_01,PV110326,19.4,9664,ALL,Passed
FAX77110_01,PV110329,21.1,1277,ALL,Passed
FAX77110_01,PV110337,17.6,10979,ALL,Passed
FAX77110_01,PV110340,17.1,2170,ALL,Passed
FAX77110_01,PV110348,21.6,3731,ALL,Passed
FAX77110_01,PV110351,19.2,8772,ALL,Passed
FAX77110_01,PV110361,20.028613345,16445,ALL,Passed
FAX77110_01,PV110362,16.54377255,19480,ALL,Passed
FAX77110_01,PV110376,17.69491792,27483,ALL,Passed
FAX77110_01,PV110379,24.396761065,17882,ALL,Passed
FAX77110_01,PV110392,18.8,9620,ALL,Passed
FAX77110_01,PV110393,21.9,1109,ALL,Passed
FAX77110_01,PV110395,23.4,528,ALL,Passed
FAX77110_01,PV110407,16.9,19139,ALL,Passed
FAX77110_01,PV110414,22.538544465,1514,ALL,Passed
FAX77110_01,PV110415,18.6,17606,ALL,Passed
FAX77110_01,PV110424,18.5,14331,ALL,Passed
FAX77110_01,PV110427,17.7,27460,ALL,Passed
FAX77110_01,PV110433,20.7,4415,BM,Passed
FAX77110_01,PV110440,20.2,3498,ALL,Passed
FAX77110_01,PV110442,21.5,4343,ALL,Passed
FAX77110_01,PV110447,19.7,12669,ALL,Passed
FAX77110_01,PV110448,19.4,2037,ALL,Passed
FAX77110_01,PV110450,23.1,2244,ALL,Passed
FAX77110_01,PV110469,22.6,2077,ALL,Passed
FAX77110_01,PV110470,18.3,21411,ALL,Passed
FAX77110_01,PV110471,19,18501,ALL,Passed
FAX77110_01,PV110482,22.3,2702,ALL,Passed
FAX77110_01,PV110492,19.2,6475,ALL,Passed
FAX77110_01,PV110501,19.4,16901,ALL,Passed
FAX77110_01,PV110503,15.9,18273,ALL,Passed
FAX77110_01,PV110507,17.4,11076,ALL,Passed
FAX77110_01,PV110515,14.5,24440,ALL,Passed
FAX77110_01,PV110518,24.7,384,ALL,Passed
FAX77110_01,PV110548,16.7,22080,ALL,Passed
FAX77110_01,PV110549,19.5,13693,BM,Passed
FAX77110_01,PV110554,19.26217862,12712,ALL,Passed
FAX77110_01,PV110576,25,252,ALL,Failed
FAX77110_01,PV110581,24.1,573,ALL,Failed
FAX77110_01,PV110593,20.4,3745,ALL,Passed
FAX77110_01,PV110594,22.5,1482,ALL,Failed
FAX77110_01,PV110595,19.5,15571,ALL,Passed
FAX77110_01,PV110596,24.2,1075,ALL,Passed
FAX77110_01,PV110609,21.4,3166,ALL,Passed
FAX77110_01,PV110613,18.8,1130,ALL,Passed
FAX77110_01,PV110636,15.9,13656,ALL,Passed
FAX77110_01,PV110647,17.1,20645,ALL,Passed
FAX77110_01,PV110651,20.4,12265,ALL,Passed
FAX77110_01,PV110652,17.4,18396,ALL,Passed
FAX77110_01,PV110655,23.5,3348,ALL,Passed
FAX77110_01,PV110666,17.860488165,29752,ALL,Passed
FAP72115_01,PV20767,NA,1605,BM,Passed
FAP72115_01,PV20767_P2,NA,1157,BM,Passed
FAR95226_01,PV33683_P2,NA,890,BM,Passed
FAR95226_01,PV37615_P2,NA,12523,BM,Passed
FAR95226_01,PV40921_P2,NA,1547,BM,Passed
FAP72115_01,PV41487_P2,NA,14691,BM,Failed
FAP72115_01,PV41577_P2,NA,13522,BM,Passed
FAR95220_01,PV42815,NA,775,ALL,Passed
