ASSEMBLY_PIPELINE,ASSEMBLY_QUALITY,DOMAIN,MATCH,COUNT,frequency,cumCount,cumFreq,.group
amplicon_sorter,Passed,NTD,FALSE,27,0.04340836012861737,27,0.04,3
amplicon_sorter,Passed,NTD,TRUE,595,0.9565916398713826,622,1,3
amplicon_sorter,Passed,RBD,FALSE,45,0.07234726688102894,45,0.07,2
amplicon_sorter,Passed,RBD,TRUE,577,0.927652733118971,622,1,2
amplicon_sorter,Passed,S1,FALSE,69,0.11093247588424437,69,0.11,1
amplicon_sorter,Passed,S1,TRUE,553,0.8890675241157556,622,1,1
amplicon_sorter,Passed,S dels,FALSE,23,0.03697749196141479,23,0.04,4
amplicon_sorter,Passed,S dels,TRUE,599,0.9630225080385852,622,1,4
vRAPID,Passed,NTD,TRUE,668,1,668,1,7
vRAPID,Passed,RBD,TRUE,668,1,668,1,6
vRAPID,Passed,S1,TRUE,668,1,668,1,5
vRAPID,Passed,S dels,TRUE,668,1,668,1,8
