count,id,Condition,label,show_label,frequency,fill_color
4,1,clade_who,Ancestral,Ancestral,2.804655728509325e-4,#3288BD
4,1,Nextclade_pango,A,NA,2.804655728509325e-4,#3288BD
4,1,P0.1,A,NA,2.804655728509325e-4,#3288BD
4,1,P0.5,A,A,2.804655728509325e-4,#3288BD
4,1,P1,A,A,2.804655728509325e-4,#3288BD
4,1,P5,A,A,2.804655728509325e-4,#3288BD
8,2,clade_who,Ancestral,Ancestral,5.60931145701865e-4,#3288BD
8,2,Nextclade_pango,A.1,NA,5.60931145701865e-4,#3288BD
8,2,P0.1,A,NA,5.60931145701865e-4,#3288BD
8,2,P0.5,A,A,5.60931145701865e-4,#3288BD
8,2,P1,A,A,5.60931145701865e-4,#3288BD
8,2,P5,A,A,5.60931145701865e-4,#3288BD
1,3,clade_who,Ancestral,Ancestral,7.011639321273313e-5,#3288BD
1,3,Nextclade_pango,A.2,NA,7.011639321273313e-5,#3288BD
1,3,P0.1,A,NA,7.011639321273313e-5,#3288BD
1,3,P0.5,A,A,7.011639321273313e-5,#3288BD
1,3,P1,A,A,7.011639321273313e-5,#3288BD
1,3,P5,A,A,7.011639321273313e-5,#3288BD
7,4,clade_who,Ancestral,Ancestral,4.90814752489132e-4,#3288BD
7,4,Nextclade_pango,A.2.5.1,NA,4.90814752489132e-4,#3288BD
7,4,P0.1,A,NA,4.90814752489132e-4,#3288BD
7,4,P0.5,A,A,4.90814752489132e-4,#3288BD
7,4,P1,A,A,4.90814752489132e-4,#3288BD
7,4,P5,A,A,4.90814752489132e-4,#3288BD
2,5,clade_who,Ancestral,Ancestral,1.4023278642546626e-4,#3288BD
2,5,Nextclade_pango,A.2.5.2,NA,1.4023278642546626e-4,#3288BD
2,5,P0.1,A,NA,1.4023278642546626e-4,#3288BD
2,5,P0.5,A,A,1.4023278642546626e-4,#3288BD
2,5,P1,A,A,1.4023278642546626e-4,#3288BD
2,5,P5,A,A,1.4023278642546626e-4,#3288BD
2,6,clade_who,Ancestral,Ancestral,1.4023278642546626e-4,#3288BD
2,6,Nextclade_pango,A.3,NA,1.4023278642546626e-4,#3288BD
2,6,P0.1,A,NA,1.4023278642546626e-4,#3288BD
2,6,P0.5,A,A,1.4023278642546626e-4,#3288BD
2,6,P1,A,A,1.4023278642546626e-4,#3288BD
2,6,P5,A,A,1.4023278642546626e-4,#3288BD
1,7,clade_who,Ancestral,Ancestral,7.011639321273313e-5,#3288BD
1,7,Nextclade_pango,A.5,NA,7.011639321273313e-5,#3288BD
1,7,P0.1,A,NA,7.011639321273313e-5,#3288BD
1,7,P0.5,A,A,7.011639321273313e-5,#3288BD
1,7,P1,A,A,7.011639321273313e-5,#3288BD
1,7,P5,A,A,7.011639321273313e-5,#3288BD
16,8,clade_who,Ancestral,Ancestral,0.00112186229140373,#3288BD
16,8,Nextclade_pango,B,NA,0.00112186229140373,#3288BD
16,8,P0.1,B,NA,0.00112186229140373,#3288BD
16,8,P0.5,B,B,0.00112186229140373,#3288BD
16,8,P1,B,B,0.00112186229140373,#3288BD
16,8,P5,B,B,0.00112186229140373,#3288BD
741,9,clade_who,Ancestral,Ancestral,0.051956247370635256,#3288BD
741,9,Nextclade_pango,B.1,NA,0.051956247370635256,#3288BD
741,9,P0.1,B.1,NA,0.051956247370635256,#3288BD
741,9,P0.5,B.1,B.1,0.051956247370635256,#3288BD
741,9,P1,B.1,B.1,0.051956247370635256,#3288BD
741,9,P5,B.1,B.1,0.051956247370635256,#3288BD
9,10,clade_who,Ancestral,Ancestral,6.310475389145982e-4,#3288BD
9,10,Nextclade_pango,B.1.110.3,NA,6.310475389145982e-4,#3288BD
9,10,P0.1,B.1,NA,6.310475389145982e-4,#3288BD
9,10,P0.5,B.1,B.1,6.310475389145982e-4,#3288BD
9,10,P1,B.1,B.1,6.310475389145982e-4,#3288BD
9,10,P5,B.1,B.1,6.310475389145982e-4,#3288BD
13,11,clade_who,Ancestral,Ancestral,9.115131117655308e-4,#3288BD
13,11,Nextclade_pango,B.1.111,NA,9.115131117655308e-4,#3288BD
13,11,P0.1,B.1,NA,9.115131117655308e-4,#3288BD
13,11,P0.5,B.1,B.1,9.115131117655308e-4,#3288BD
13,11,P1,B.1,B.1,9.115131117655308e-4,#3288BD
13,11,P5,B.1,B.1,9.115131117655308e-4,#3288BD
3,12,clade_who,Ancestral,Ancestral,2.1034917963819942e-4,#3288BD
3,12,Nextclade_pango,B.1.160,NA,2.1034917963819942e-4,#3288BD
3,12,P0.1,B.1,NA,2.1034917963819942e-4,#3288BD
3,12,P0.5,B.1,B.1,2.1034917963819942e-4,#3288BD
3,12,P1,B.1,B.1,2.1034917963819942e-4,#3288BD
3,12,P5,B.1,B.1,2.1034917963819942e-4,#3288BD
1,13,clade_who,Ancestral,Ancestral,7.011639321273313e-5,#3288BD
1,13,Nextclade_pango,B.1.160.16,NA,7.011639321273313e-5,#3288BD
1,13,P0.1,B.1,NA,7.011639321273313e-5,#3288BD
1,13,P0.5,B.1,B.1,7.011639321273313e-5,#3288BD
1,13,P1,B.1,B.1,7.011639321273313e-5,#3288BD
1,13,P5,B.1,B.1,7.011639321273313e-5,#3288BD
4,14,clade_who,Ancestral,Ancestral,2.804655728509325e-4,#3288BD
4,14,Nextclade_pango,B.1.239,NA,2.804655728509325e-4,#3288BD
4,14,P0.1,B.1,NA,2.804655728509325e-4,#3288BD
4,14,P0.5,B.1,B.1,2.804655728509325e-4,#3288BD
4,14,P1,B.1,B.1,2.804655728509325e-4,#3288BD
4,14,P5,B.1,B.1,2.804655728509325e-4,#3288BD
2,15,clade_who,Ancestral,Ancestral,1.4023278642546626e-4,#3288BD
2,15,Nextclade_pango,B.1.241,NA,1.4023278642546626e-4,#3288BD
2,15,P0.1,B.1,NA,1.4023278642546626e-4,#3288BD
2,15,P0.5,B.1,B.1,1.4023278642546626e-4,#3288BD
2,15,P1,B.1,B.1,1.4023278642546626e-4,#3288BD
2,15,P5,B.1,B.1,1.4023278642546626e-4,#3288BD
1,16,clade_who,Ancestral,Ancestral,7.011639321273313e-5,#3288BD
1,16,Nextclade_pango,B.1.258.17,NA,7.011639321273313e-5,#3288BD
1,16,P0.1,B.1,NA,7.011639321273313e-5,#3288BD
1,16,P0.5,B.1,B.1,7.011639321273313e-5,#3288BD
1,16,P1,B.1,B.1,7.011639321273313e-5,#3288BD
1,16,P5,B.1,B.1,7.011639321273313e-5,#3288BD
1,17,clade_who,Ancestral,Ancestral,7.011639321273313e-5,#3288BD
1,17,Nextclade_pango,B.1.265,NA,7.011639321273313e-5,#3288BD
1,17,P0.1,B.1,NA,7.011639321273313e-5,#3288BD
1,17,P0.5,B.1,B.1,7.011639321273313e-5,#3288BD
1,17,P1,B.1,B.1,7.011639321273313e-5,#3288BD
1,17,P5,B.1,B.1,7.011639321273313e-5,#3288BD
3,18,clade_who,Ancestral,Ancestral,2.1034917963819942e-4,#3288BD
3,18,Nextclade_pango,B.1.298,NA,2.1034917963819942e-4,#3288BD
3,18,P0.1,B.1,NA,2.1034917963819942e-4,#3288BD
3,18,P0.5,B.1,B.1,2.1034917963819942e-4,#3288BD
3,18,P1,B.1,B.1,2.1034917963819942e-4,#3288BD
3,18,P5,B.1,B.1,2.1034917963819942e-4,#3288BD
1,19,clade_who,Ancestral,Ancestral,7.011639321273313e-5,#3288BD
1,19,Nextclade_pango,B.1.3,NA,7.011639321273313e-5,#3288BD
1,19,P0.1,B.1,NA,7.011639321273313e-5,#3288BD
1,19,P0.5,B.1,B.1,7.011639321273313e-5,#3288BD
1,19,P1,B.1,B.1,7.011639321273313e-5,#3288BD
1,19,P5,B.1,B.1,7.011639321273313e-5,#3288BD
11,20,clade_who,Ancestral,Ancestral,7.712803253400645e-4,#3288BD
11,20,Nextclade_pango,B.1.311,NA,7.712803253400645e-4,#3288BD
11,20,P0.1,B.1,NA,7.712803253400645e-4,#3288BD
11,20,P0.5,B.1,B.1,7.712803253400645e-4,#3288BD
11,20,P1,B.1,B.1,7.712803253400645e-4,#3288BD
11,20,P5,B.1,B.1,7.712803253400645e-4,#3288BD
3,21,clade_who,Ancestral,Ancestral,2.1034917963819942e-4,#3288BD
3,21,Nextclade_pango,B.1.320,NA,2.1034917963819942e-4,#3288BD
3,21,P0.1,B.1,NA,2.1034917963819942e-4,#3288BD
3,21,P0.5,B.1,B.1,2.1034917963819942e-4,#3288BD
3,21,P1,B.1,B.1,2.1034917963819942e-4,#3288BD
3,21,P5,B.1,B.1,2.1034917963819942e-4,#3288BD
3,22,clade_who,Ancestral,Ancestral,2.1034917963819942e-4,#3288BD
3,22,Nextclade_pango,B.1.324,NA,2.1034917963819942e-4,#3288BD
3,22,P0.1,B.1,NA,2.1034917963819942e-4,#3288BD
3,22,P0.5,B.1,B.1,2.1034917963819942e-4,#3288BD
3,22,P1,B.1,B.1,2.1034917963819942e-4,#3288BD
3,22,P5,B.1,B.1,2.1034917963819942e-4,#3288BD
1,23,clade_who,Ancestral,Ancestral,7.011639321273313e-5,#3288BD
1,23,Nextclade_pango,B.1.340,NA,7.011639321273313e-5,#3288BD
1,23,P0.1,B.1,NA,7.011639321273313e-5,#3288BD
1,23,P0.5,B.1,B.1,7.011639321273313e-5,#3288BD
1,23,P1,B.1,B.1,7.011639321273313e-5,#3288BD
1,23,P5,B.1,B.1,7.011639321273313e-5,#3288BD
2,24,clade_who,Ancestral,Ancestral,1.4023278642546626e-4,#3288BD
2,24,Nextclade_pango,B.1.349,NA,1.4023278642546626e-4,#3288BD
2,24,P0.1,B.1,NA,1.4023278642546626e-4,#3288BD
2,24,P0.5,B.1,B.1,1.4023278642546626e-4,#3288BD
2,24,P1,B.1,B.1,1.4023278642546626e-4,#3288BD
2,24,P5,B.1,B.1,1.4023278642546626e-4,#3288BD
3,25,clade_who,Ancestral,Ancestral,2.1034917963819942e-4,#3288BD
3,25,Nextclade_pango,B.1.36,NA,2.1034917963819942e-4,#3288BD
3,25,P0.1,B.1,NA,2.1034917963819942e-4,#3288BD
3,25,P0.5,B.1,B.1,2.1034917963819942e-4,#3288BD
3,25,P1,B.1,B.1,2.1034917963819942e-4,#3288BD
3,25,P5,B.1,B.1,2.1034917963819942e-4,#3288BD
1,26,clade_who,Ancestral,Ancestral,7.011639321273313e-5,#3288BD
1,26,Nextclade_pango,B.1.36.18,NA,7.011639321273313e-5,#3288BD
1,26,P0.1,B.1,NA,7.011639321273313e-5,#3288BD
1,26,P0.5,B.1,B.1,7.011639321273313e-5,#3288BD
1,26,P1,B.1,B.1,7.011639321273313e-5,#3288BD
1,26,P5,B.1,B.1,7.011639321273313e-5,#3288BD
4,27,clade_who,Ancestral,Ancestral,2.804655728509325e-4,#3288BD
4,27,Nextclade_pango,B.1.36.31,NA,2.804655728509325e-4,#3288BD
4,27,P0.1,B.1,NA,2.804655728509325e-4,#3288BD
4,27,P0.5,B.1,B.1,2.804655728509325e-4,#3288BD
4,27,P1,B.1,B.1,2.804655728509325e-4,#3288BD
4,27,P5,B.1,B.1,2.804655728509325e-4,#3288BD
1,28,clade_who,Ancestral,Ancestral,7.011639321273313e-5,#3288BD
1,28,Nextclade_pango,B.1.36.8,NA,7.011639321273313e-5,#3288BD
1,28,P0.1,B.1,NA,7.011639321273313e-5,#3288BD
1,28,P0.5,B.1,B.1,7.011639321273313e-5,#3288BD
1,28,P1,B.1,B.1,7.011639321273313e-5,#3288BD
1,28,P5,B.1,B.1,7.011639321273313e-5,#3288BD
5,29,clade_who,Ancestral,Ancestral,3.505819660636657e-4,#3288BD
5,29,Nextclade_pango,B.1.361,NA,3.505819660636657e-4,#3288BD
5,29,P0.1,B.1,NA,3.505819660636657e-4,#3288BD
5,29,P0.5,B.1,B.1,3.505819660636657e-4,#3288BD
5,29,P1,B.1,B.1,3.505819660636657e-4,#3288BD
5,29,P5,B.1,B.1,3.505819660636657e-4,#3288BD
6,30,clade_who,Ancestral,Ancestral,4.2069835927639884e-4,#3288BD
6,30,Nextclade_pango,B.1.362,NA,4.2069835927639884e-4,#3288BD
6,30,P0.1,B.1,NA,4.2069835927639884e-4,#3288BD
6,30,P0.5,B.1,B.1,4.2069835927639884e-4,#3288BD
6,30,P1,B.1,B.1,4.2069835927639884e-4,#3288BD
6,30,P5,B.1,B.1,4.2069835927639884e-4,#3288BD
1,31,clade_who,Ancestral,Ancestral,7.011639321273313e-5,#3288BD
1,31,Nextclade_pango,B.1.367,NA,7.011639321273313e-5,#3288BD
1,31,P0.1,B.1,NA,7.011639321273313e-5,#3288BD
1,31,P0.5,B.1,B.1,7.011639321273313e-5,#3288BD
1,31,P1,B.1,B.1,7.011639321273313e-5,#3288BD
1,31,P5,B.1,B.1,7.011639321273313e-5,#3288BD
8,32,clade_who,Ancestral,Ancestral,5.60931145701865e-4,#3288BD
8,32,Nextclade_pango,B.1.375,NA,5.60931145701865e-4,#3288BD
8,32,P0.1,B.1,NA,5.60931145701865e-4,#3288BD
8,32,P0.5,B.1,B.1,5.60931145701865e-4,#3288BD
8,32,P1,B.1,B.1,5.60931145701865e-4,#3288BD
8,32,P5,B.1,B.1,5.60931145701865e-4,#3288BD
14,33,clade_who,Ancestral,Ancestral,9.81629504978264e-4,#3288BD
14,33,Nextclade_pango,B.1.398,NA,9.81629504978264e-4,#3288BD
14,33,P0.1,B.1,NA,9.81629504978264e-4,#3288BD
14,33,P0.5,B.1,B.1,9.81629504978264e-4,#3288BD
14,33,P1,B.1,B.1,9.81629504978264e-4,#3288BD
14,33,P5,B.1,B.1,9.81629504978264e-4,#3288BD
1,34,clade_who,Ancestral,Ancestral,7.011639321273313e-5,#3288BD
1,34,Nextclade_pango,B.1.400,NA,7.011639321273313e-5,#3288BD
1,34,P0.1,B.1,NA,7.011639321273313e-5,#3288BD
1,34,P0.5,B.1,B.1,7.011639321273313e-5,#3288BD
1,34,P1,B.1,B.1,7.011639321273313e-5,#3288BD
1,34,P5,B.1,B.1,7.011639321273313e-5,#3288BD
1,35,clade_who,Ancestral,Ancestral,7.011639321273313e-5,#3288BD
1,35,Nextclade_pango,B.1.433,NA,7.011639321273313e-5,#3288BD
1,35,P0.1,B.1,NA,7.011639321273313e-5,#3288BD
