clade_who,lineage_display.final,ASSEMBLY_PIPELINE,week,n,Frequency
Ancestral,B.1,SpikeID,2021-10-24,1,1
Ancestral,B.1,SpikeID,2021-12-05,3,0.016129032258064516
Ancestral,B.1,SpikeID,2021-12-12,1,0.005681818181818182
Delta,AY.103,SpikeID,2021-12-05,91,0.489247311827957
Delta,AY.103,SpikeID,2021-11-21,22,0.5789473684210527
Delta,AY.103,SpikeID,2022-01-16,4,0.05333333333333334
Delta,AY.103,SpikeID,2021-12-26,7,0.03398058252427184
Delta,AY.103,SpikeID,2021-11-14,10,0.6666666666666666
Delta,AY.103,SpikeID,2021-11-07,1,1
Delta,AY.103,SpikeID,2021-12-19,3,0.02459016393442623
Delta,AY.103,SpikeID,2021-12-12,53,0.30113636363636365
Delta,AY.103,SpikeID,2021-11-28,36,0.46153846153846156
Delta,AY.3,SpikeID,2021-11-21,4,0.10526315789473684
Delta,AY.3,SpikeID,2021-12-12,4,0.022727272727272728
Delta,AY.3,SpikeID,2021-12-19,1,0.00819672131147541
Delta,AY.3,SpikeID,2021-12-05,5,0.026881720430107527
Delta,AY.3,SpikeID,2021-11-28,3,0.038461538461538464
Delta,AY.3,SpikeID,2021-11-14,2,0.13333333333333333
Delta,B.1.617.2,SpikeID,2021-12-19,5,0.040983606557377046
Delta,B.1.617.2,SpikeID,2021-11-21,11,0.2894736842105263
Delta,B.1.617.2,SpikeID,2022-01-02,1,0.008695652173913044
Delta,B.1.617.2,SpikeID,2021-11-14,3,0.2
Delta,B.1.617.2,SpikeID,2021-12-05,68,0.3655913978494624
Delta,B.1.617.2,SpikeID,2021-12-12,34,0.19318181818181818
Delta,B.1.617.2,SpikeID,2021-12-26,12,0.05825242718446602
Delta,B.1.617.2,SpikeID,2021-11-28,35,0.44871794871794873
Mu,B.1.621,SpikeID,2021-11-21,1,0.02631578947368421
Omicron,BA.1,SpikeID,2021-12-05,18,0.0967741935483871
Omicron,BA.1,SpikeID,2022-07-24,1,0.5
Omicron,BA.1,SpikeID,2021-12-26,114,0.5533980582524272
Omicron,BA.1,SpikeID,2021-12-12,74,0.42045454545454547
Omicron,BA.1,SpikeID,2022-01-30,13,0.7222222222222222
Omicron,BA.1,SpikeID,2022-01-09,29,0.5370370370370371
Omicron,BA.1,SpikeID,2021-11-28,4,0.05128205128205128
Omicron,BA.1,SpikeID,2021-12-19,85,0.6967213114754098
Omicron,BA.1,SpikeID,2023-04-16,1,0.0625
Omicron,BA.1,SpikeID,2023-05-07,1,0.043478260869565216
Omicron,BA.1,SpikeID,2022-01-16,45,0.6
Omicron,BA.1,SpikeID,2022-01-02,68,0.591304347826087
Omicron,BA.1,SpikeID,2022-07-31,3,1
Omicron,BA.1,SpikeID,2022-01-23,75,0.7009345794392523
Omicron,BA.1,SpikeID,2022-07-10,1,1
Omicron,BA.1.1,SpikeID,2021-12-05,1,0.005376344086021506
Omicron,BA.1.1,SpikeID,2021-12-19,28,0.22950819672131148
Omicron,BA.1.1,SpikeID,2021-12-26,73,0.35436893203883496
Omicron,BA.1.1,SpikeID,2022-01-23,30,0.2803738317757009
Omicron,BA.1.1,SpikeID,2022-01-02,46,0.4
Omicron,BA.1.1,SpikeID,2022-01-30,5,0.2777777777777778
Omicron,BA.1.1,SpikeID,2021-12-12,10,0.056818181818181816
